company,city,state,source,source_id,provenance_url,naics_code,naics_sector,solar_fit_score,energy_intensity,tax_appetite,recommended_ownership,load_profile,est_system_kw,est_annual_kwh,est_annual_savings_usd,est_net_payback_yrs,est_25yr_npv_p50_usd,sales_script,script_cfo,script_facilities,script_sustainability,pitch_angle
"Mud Ww Lift Station","Houston","TX","osm_industrial","osm-1396115946","https://www.openstreetmap.org/way/osm-1396115946","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Closed Drillsite","Houston","TX","osm_industrial","osm-1396115950","https://www.openstreetmap.org/way/osm-1396115950","","","","","","","","600","904032","90403","7.3","970164","","","","","Wellsite building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Northpointe Express Care & Car Wash","Houston","TX","osm_industrial","osm-1409617036","https://www.openstreetmap.org/way/osm-1409617036","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Trendsetter Engineering","Houston","TX","osm_industrial","osm-1410945024","https://www.openstreetmap.org/way/osm-1410945024","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Fountain View Lift Station","Houston","TX","osm_industrial","osm-1414001417","https://www.openstreetmap.org/way/osm-1414001417","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"City Of Houston","Houston","TX","osm_industrial","osm-1417846951","https://www.openstreetmap.org/way/osm-1417846951","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"City Of Houston","Houston","TX","osm_industrial","osm-1417956626","https://www.openstreetmap.org/way/osm-1417956626","","","","","","","","600","904032","90403","7.3","970164","","","","","Water building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Stellalink Ls Fn575","Houston","TX","osm_industrial","osm-1423153288","https://www.openstreetmap.org/way/osm-1423153288","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Lockheed Martin","Fort Worth","TX","osm_industrial","osm-25963843","https://www.openstreetmap.org/way/osm-25963843","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Stag Arlington North","Arlington","TX","osm_industrial","osm-27913154","https://www.openstreetmap.org/way/osm-27913154","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Exelon","Dallas-Fw","TX","osm_industrial","osm-29186062","https://www.openstreetmap.org/way/osm-29186062","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"United States Postal Service","Fort Worth","TX","osm_industrial","osm-55450697","https://www.openstreetmap.org/way/osm-55450697","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Pirtek","Dallas-Fw","TX","osm_industrial","osm-55450914","https://www.openstreetmap.org/way/osm-55450914","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
"Texas Instruments","Dallas","TX","osm_industrial","osm-138669818","https://www.openstreetmap.org/way/osm-138669818","","","","","","","","600","904032","90403","7.3","970164","","","","","Industrial building. Roof-suitable for rooftop PV. Verify ownership + contact before outreach."
